days_left,stock,price,avg_sales,discount,season_demand,supplier_delay,storage_temp,product_age,category,risk
29,107,486,25,29,0.31,6,6,2,2,0
27,92,462,11,5,0.76,5,8,21,5,0
1,192,377,4,33,0.11,6,5,20,2,0
28,166,40,44,43,0.46,8,2,19,2,0
27,94,63,11,44,0.75,2,0,41,2,0
3,125,258,2,16,0.2,1,9,56,3,1
7,135,490,34,4,0.21,1,7,28,2,0
5,62,252,16,2,0.98,6,7,19,2,1
2,149,348,49,12,0.11,7,5,46,2,1
8,86,440,29,25,0.55,1,7,13,2,0
24,107,70,11,46,0.37,3,6,10,4,0
15,47,301,7,45,0.57,0,3,10,2,0
29,153,65,26,11,0.14,8,3,57,2,0
2,80,228,30,34,0.53,0,4,47,1,0
19,175,94,46,14,0.63,8,7,4,3,0
2,68,265,24,19,0.43,7,8,43,3,0
21,55,229,16,46,0.13,5,6,38,5,0
25,73,464,9,12,0.38,3,0,37,3,0
3,119,208,27,5,0.58,7,7,10,2,1
15,170,428,11,17,0.59,2,0,48,3,0
5,190,69,16,12,0.55,4,4,15,4,1
21,173,331,19,26,0.41,5,8,29,1,0
24,63,72,13,17,0.52,0,4,55,3,0
18,145,43,2,47,0.93,7,5,39,3,0
13,69,189,16,49,0.7,3,6,41,5,0
11,52,30,6,30,0.28,7,1,15,4,0
14,113,269,29,28,0.35,8,4,2,3,0
9,130,259,48,49,0.59,6,8,48,3,0
24,114,185,26,15,0.53,7,6,52,1,0
9,32,103,47,41,0.86,8,6,54,4,0
25,26,23,46,49,0.99,7,2,40,2,0
25,69,249,47,13,0.47,2,2,26,5,0
10,30,287,33,6,0.66,6,3,40,5,0
2,35,106,48,35,0.94,3,1,57,3,0
12,93,302,2,41,0.11,3,5,43,3,0
5,39,284,42,47,0.23,8,2,47,4,0
26,45,178,28,0,0.36,2,1,4,5,0
6,110,464,23,36,0.14,9,5,18,1,0
4,55,311,46,0,0.9,3,4,3,3,0
28,152,494,27,41,0.5,2,3,46,1,0
20,35,60,44,41,0.27,7,8,18,3,0
28,52,275,36,18,0.91,3,6,36,5,0
23,154,429,5,14,0.13,9,1,13,4,0
8,78,61,38,18,0.34,7,5,28,4,0
8,153,273,22,2,0.76,7,7,10,3,0
5,70,218,46,26,0.99,4,3,41,2,0
13,155,294,16,19,0.22,3,7,46,1,0
